IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,28426365,09-Apr-2015,07:10:00,0.90323
782790509,28426365,09-Apr-2015,07:15:00,0.90514
782790509,28426365,09-Apr-2015,07:20:00,0.90814
782790509,28426365,09-Apr-2015,07:25:00,0.91236
782790509,28426365,09-Apr-2015,07:30:00,0.91603
782790509,28426365,09-Apr-2015,07:35:00,0.91556
782790509,28426365,09-Apr-2015,07:40:00,0.91087
782790509,28426365,09-Apr-2015,07:45:00,0.90835
782790509,28426365,09-Apr-2015,07:50:00,0.90428
782790509,28426365,09-Apr-2015,07:55:00,0.89965
782790509,28426365,09-Apr-2015,08:00:00,0.89548
782790509,28426365,09-Apr-2015,08:05:00,0.88904
782790509,28426365,09-Apr-2015,08:10:00,0.88348
782790509,28426365,09-Apr-2015,08:15:00,0.87933
782790509,28426365,09-Apr-2015,08:20:00,0.87622
782790509,28426365,09-Apr-2015,08:25:00,0.87487
782790509,28426365,09-Apr-2015,08:30:00,0.8722
782790509,28426365,09-Apr-2015,08:35:00,0.86998
782790509,28426365,09-Apr-2015,08:40:00,0.86845
782790509,28426365,09-Apr-2015,08:45:00,0.86794
782790509,28426365,09-Apr-2015,08:50:00,0.86824
782790509,28426365,09-Apr-2015,08:55:00,0.86823
782790509,28426365,09-Apr-2015,09:00:00,0.87162
782790509,28426365,09-Apr-2015,09:05:00,0.87196
782790509,28426365,09-Apr-2015,09:10:00,0.8728
782790509,28426365,09-Apr-2015,09:15:00,0.87618
782790509,28426365,09-Apr-2015,09:20:00,0.87683
782790509,28426365,09-Apr-2015,09:25:00,0.87839
782790509,28426365,09-Apr-2015,09:30:00,0.88361
782790509,28426365,09-Apr-2015,09:35:00,0.88423
782790509,28426365,09-Apr-2015,09:40:00,0.88323
782790509,28426365,09-Apr-2015,09:45:00,0.883
782790509,28426365,09-Apr-2015,09:50:00,0.88236
782790509,28426365,09-Apr-2015,09:55:00,0.87908
782790509,28426365,09-Apr-2015,10:00:00,0.87954
782790509,28426365,09-Apr-2015,10:05:00,0.87886
782790509,28426365,09-Apr-2015,10:10:00,0.87989
782790509,28426365,09-Apr-2015,10:15:00,0.88162
782790509,28426365,09-Apr-2015,10:20:00,0.88299
782790509,28426365,09-Apr-2015,10:25:00,0.88308
782790509,28426365,09-Apr-2015,10:30:00,0.88668
782790509,28426365,09-Apr-2015,10:35:00,0.89111
782790509,28426365,09-Apr-2015,10:40:00,0.8942
782790509,28426365,09-Apr-2015,10:45:00,0.89718
782790509,28426365,09-Apr-2015,10:50:00,0.9018
782790509,28426365,09-Apr-2015,10:55:00,0.90777
782790509,28426365,09-Apr-2015,11:00:00,0.90982
782790509,28426365,09-Apr-2015,11:05:00,0.90927
782790509,28426365,09-Apr-2015,11:10:00,0.91055
782790509,28426365,09-Apr-2015,11:15:00,0.91095
782790509,28426365,09-Apr-2015,11:20:00,0.91209
782790509,28426365,09-Apr-2015,11:25:00,0.91073
782790509,28426365,09-Apr-2015,11:30:00,0.90598
782790509,28426365,09-Apr-2015,11:35:00,0.90251
782790509,28426365,09-Apr-2015,11:40:00,0.89931
